Sales,Quantity,Discount,Profit,Region,Category,Year,Month,YearMonth,Anomaly,AlertLevel
261.96,2,0.0,41.9136,South,Furniture,2016,11,2016-11,Normal,Normal
731.94,3,0.0,219.582,South,Furniture,2016,11,2016-11,Normal,Normal
14.62,2,0.0,6.8714,West,Office Supplies,2016,6,2016-06,Normal,Normal
957.5775,5,0.45,-383.031,South,Furniture,2015,10,2015-10,Anomaly,High Alert
22.368,2,0.2,2.5164,South,Office Supplies,2015,10,2015-10,Normal,Normal
48.86,7,0.0,14.1694,West,Furniture,2014,6,2014-06,Normal,Normal
7.28,4,0.0,1.9656,West,Office Supplies,2014,6,2014-06,Normal,Normal
907.152,6,0.2,90.7152,West,Technology,2014,6,2014-06,Normal,Normal
18.504,3,0.2,5.7825,West,Office Supplies,2014,6,2014-06,Normal,Normal
114.9,5,0.0,34.47,West,Office Supplies,2014,6,2014-06,Normal,Normal
1706.184,9,0.2,85.3092,West,Furniture,2014,6,2014-06,Anomaly,High Alert
911.424,4,0.2,68.3568,West,Technology,2014,6,2014-06,Normal,Normal
15.552,3,0.2,5.4432,South,Office Supplies,2017,4,2017-04,Normal,Normal
407.976,3,0.2,132.5922,West,Office Supplies,2016,12,2016-12,Normal,Normal
68.81,5,0.8,-123.858,Central,Office Supplies,2015,11,2015-11,Anomaly,High Alert
2.544,3,0.8,-3.816,Central,Office Supplies,2015,11,2015-11,Normal,Normal
665.88,6,0.0,13.3176,Central,Office Supplies,2014,11,2014-11,Normal,Normal
55.5,2,0.0,9.99,West,Office Supplies,2014,5,2014-05,Normal,Normal
8.56,2,0.0,2.4824,West,Office Supplies,2014,8,2014-08,Normal,Normal
213.48,3,0.2,16.011,West,Technology,2014,8,2014-08,Normal,Normal
22.72,4,0.2,7.384,West,Office Supplies,2014,8,2014-08,Normal,Normal
19.46,7,0.0,5.0596,Central,Office Supplies,2016,12,2016-12,Normal,Normal
60.34,7,0.0,15.6884,Central,Office Supplies,2016,12,2016-12,Normal,Normal
71.372,2,0.3,-1.0196,East,Furniture,2017,7,2017-07,Normal,Normal
1044.63,3,0.0,240.2649,West,Furniture,2015,9,2015-09,Normal,Normal
11.648,2,0.2,4.2224,West,Office Supplies,2016,1,2016-01,Normal,Normal
90.57,3,0.0,11.7741,West,Technology,2016,1,2016-01,Normal,Normal
3083.43,7,0.5,-1665.0522,East,Furniture,2015,9,2015-09,Anomaly,High Alert
9.618,2,0.7,-7.0532,East,Office Supplies,2015,9,2015-09,Normal,Normal
124.2,3,0.2,15.525,East,Furniture,2015,9,2015-09,Normal,Normal
3.264,2,0.2,1.1016,East,Office Supplies,2015,9,2015-09,Normal,Normal
86.304,6,0.2,9.7092,East,Office Supplies,2015,9,2015-09,Normal,Normal
6.858,6,0.7,-5.715,East,Office Supplies,2015,9,2015-09,Normal,Normal
15.76,2,0.2,3.546,East,Office Supplies,2015,9,2015-09,Normal,Normal
29.472,3,0.2,9.9468,Central,Office Supplies,2017,10,2017-10,Normal,Normal
1097.544,7,0.2,123.4737,Central,Technology,2016,12,2016-12,Normal,Normal
190.92,5,0.6,-147.963,Central,Furniture,2016,12,2016-12,Normal,Normal
113.328,9,0.2,35.415,Central,Office Supplies,2015,12,2015-12,Normal,Normal
532.3992,3,0.32,-46.9764,Central,Furniture,2015,12,2015-12,Normal,Normal
212.058,3,0.3,-15.147,Central,Furniture,2015,12,2015-12,Normal,Normal
