RecordID,Quantity,Discount,Profit,ActualSales,PredictedSales,PredictionError,ErrorCategory,Region,Category,YearMonth
1,2,0.0,41.9136,261.96,130.65720000000002,131.30279999999996,Normal Error,South,Furniture,2016-11
2,3,0.0,219.582,731.94,737.9383000000006,5.99830000000054,Normal Error,South,Furniture,2016-11
3,2,0.0,6.8714,14.62,14.61999999999997,2.842170943040401e-14,Normal Error,West,Office Supplies,2016-06
4,5,0.45,-383.031,957.5775,703.5184899999997,254.05901000000028,Normal Error,South,Furniture,2015-10
5,2,0.2,2.5164,22.368,20.210919999999984,2.1570800000000148,Normal Error,South,Office Supplies,2015-10
6,7,0.0,14.1694,48.86,45.306799999999996,3.553200000000004,Normal Error,West,Furniture,2014-06
7,4,0.0,1.9656,7.28,19.555399999999988,12.275399999999987,Normal Error,West,Office Supplies,2014-06
8,6,0.2,90.7152,907.152,854.936600000001,52.21539999999902,Normal Error,West,Technology,2014-06
9,3,0.2,5.7825,18.504,28.711440000000007,10.207440000000005,Normal Error,West,Office Supplies,2014-06
10,5,0.0,34.47,114.9,122.25439999999986,7.354399999999856,Normal Error,West,Office Supplies,2014-06
11,9,0.2,85.3092,1706.184,965.9725600000003,740.2114399999997,High Error,West,Furniture,2014-06
12,4,0.2,68.3568,911.424,917.18332,5.759320000000002,Normal Error,West,Technology,2014-06
13,3,0.2,5.4432,15.552,15.551999999999978,2.1316282072803006e-14,Normal Error,South,Office Supplies,2017-04
14,3,0.2,132.5922,407.976,429.35968,21.383680000000027,Normal Error,West,Office Supplies,2016-12
15,5,0.8,-123.858,68.81,53.80391999999996,15.00608000000004,Normal Error,Central,Office Supplies,2015-11
16,3,0.8,-3.816,2.544,2.389040000000002,0.1549599999999982,Normal Error,Central,Office Supplies,2015-11
17,6,0.0,13.3176,665.88,487.2197999999996,178.66020000000037,Normal Error,Central,Office Supplies,2014-11
18,2,0.0,9.99,55.5,192.6958,137.1958,Normal Error,West,Office Supplies,2014-05
19,2,0.0,2.4824,8.56,10.970639999999978,2.4106399999999777,Normal Error,West,Office Supplies,2014-08
20,3,0.2,16.011,213.48,57.60895999999996,155.87104000000002,Normal Error,West,Technology,2014-08
21,4,0.2,7.384,22.72,22.813440000000003,0.09344000000000463,Normal Error,West,Office Supplies,2014-08
22,7,0.0,5.0596,19.46,19.25338000000002,0.2066199999999796,Normal Error,Central,Office Supplies,2016-12
23,7,0.0,15.6884,60.34,53.636000000000024,6.703999999999979,Normal Error,Central,Office Supplies,2016-12
24,2,0.3,-1.0196,71.372,46.009739999999994,25.362260000000006,Normal Error,East,Furniture,2017-07
25,3,0.0,240.2649,1044.63,967.9736000000008,76.65639999999928,Normal Error,West,Furniture,2015-09
26,2,0.2,4.2224,11.648,58.93028000000007,47.28228000000007,Normal Error,West,Office Supplies,2016-01
27,3,0.0,11.7741,90.57,78.54519999999994,12.024800000000056,Normal Error,West,Technology,2016-01
28,7,0.5,-1665.0522,3083.43,3851.787819999995,768.3578199999952,High Error,East,Furniture,2015-09
29,2,0.7,-7.0532,9.618,9.537140000000015,0.08085999999998528,Normal Error,East,Office Supplies,2015-09
30,3,0.2,15.525,124.2,72.75851999999998,51.44148000000003,Normal Error,East,Furniture,2015-09
31,2,0.2,1.1016,3.264,4.407360000000006,1.1433600000000061,Normal Error,East,Office Supplies,2015-09
32,6,0.2,9.7092,86.304,69.54042000000008,16.76357999999992,Normal Error,East,Office Supplies,2015-09
33,6,0.7,-5.715,6.858,7.219679999999991,0.3616799999999918,Normal Error,East,Office Supplies,2015-09
34,2,0.2,3.546,15.76,18.514599999999987,2.7545999999999875,Normal Error,East,Office Supplies,2015-09
